claim_id,claimant_id,vehicle_id,clinic_provider_id,repair_provider_id,attorney_provider_id,incident_type,weather_condition,claim_date,police_report_filed,injuries_count,witnesses_count,claim_amount,claim_status,payout_amount,is_fraud,fraud_ring_id
CM001916,CL001962,VH001992,,PR000225,PR000100,parking_lot,clear,2024-01-01,False,1,1,1717.29,paid,1587.98,0,
CM002376,CL000749,VH002576,PR000208,,,multi_vehicle_pileup,clear,2023-02-03,True,2,2,1393.48,paid,1268.2,0,
CM000995,CL001089,VH000384,PR000200,,,rear_end_collision,rain,2024-04-26,True,0,0,2951.36,paid,2709.43,0,
CM002895,CL002417,VH000204,,PR000041,,rear_end_collision,clear,2023-01-10,False,0,0,2017.86,paid,1912.58,0,
CM006227,CL000228,VH002780,PR000033,,,sideswipe,fog,2025-10-05,True,0,2,5071.67,paid,4759.08,0,
CM007196,CL003483,VH000035,PR000031,PR000172,,single_vehicle,rain,2025-08-16,False,0,0,898.69,paid,846.01,0,
CM002421,CL002421,VH002064,PR000025,PR000040,,sideswipe,fog,2024-08-01,False,1,3,6590.88,paid,6193.06,0,
CM001598,CL002542,VH000575,,PR000179,,single_vehicle,rain,2023-07-10,True,0,1,3425.03,paid,3163.08,0,
CM006573,CL003311,VH000455,,PR000207,,parking_lot,fog,2023-11-17,True,1,0,3784.96,paid,3756.27,0,
CM006692,CL003691,VH002389,,PR000199,,single_vehicle,clear,2025-06-10,True,2,0,3303.76,paid,3236.05,0,
CM007777,CL000114,VH002848,PR000074,PR000176,,sideswipe,snow,2025-02-27,True,0,1,3608.73,paid,3598.28,0,
CM000213,CL003880,VH002350,,PR000083,,multi_vehicle_pileup,rain,2024-08-17,True,1,4,1273.55,paid,1247.03,0,
CM001513,CL000686,VH001768,PR000056,PR000110,,parking_lot,fog,2025-07-31,True,1,0,3185.0,paid,2954.19,0,
CM006783,CL000876,VH000318,PR000031,,,parking_lot,snow,2023-01-24,True,0,1,909.11,paid,863.75,0,
CM001453,CL003928,VH000353,,,,parking_lot,rain,2024-10-17,True,0,0,1559.69,denied,0.0,0,
CM007338,CL003703,VH001322,,PR000117,PR000215,multi_vehicle_pileup,clear,2025-04-04,False,1,1,3084.98,paid,2907.67,0,
CM006707,CL001847,VH002860,PR000125,PR000166,,sideswipe,clear,2023-08-16,True,0,2,2588.77,paid,2378.91,0,
CM005453,CL003778,VH001673,,PR000124,,multi_vehicle_pileup,clear,2023-06-22,True,0,0,2231.78,paid,2134.21,0,
CM000928,CL002357,VH002693,PR000093,PR000117,,parking_lot,clear,2023-10-31,True,1,0,250.92,paid,227.02,0,
CM002898,CL001309,VH000439,PR000085,PR000142,PR000135,multi_vehicle_pileup,clear,2024-11-15,True,1,1,3779.3,paid,3544.05,0,
CM007089,CL002477,VH001066,,PR000121,,sideswipe,clear,2025-12-05,True,1,0,2291.83,paid,2194.17,0,
CM001889,CL000287,VH000371,PR000238,PR000000,,rear_end_collision,clear,2023-08-26,True,0,0,2776.9,paid,2633.4,0,
CM002550,CL002616,VH002209,PR000114,PR000024,,sideswipe,fog,2023-08-08,True,1,0,836.29,under_review,,0,
CM005539,CL001264,VH001047,,PR000097,,multi_vehicle_pileup,rain,2024-05-30,False,0,2,3545.06,paid,3293.73,0,
CM007074,CL000020,VH001519,PR000189,PR000108,,parking_lot,snow,2023-06-29,True,0,0,3035.32,paid,3031.53,0,
CM001576,CL003611,VH002275,PR000113,PR000241,,rear_end_collision,rain,2025-08-01,True,0,0,3798.76,paid,3711.73,0,
CM007151,CL003881,VH001089,,PR000226,,parking_lot,fog,2024-10-12,True,0,0,1956.22,paid,1851.53,0,
CM002408,CL002123,VH001072,,PR000105,,rear_end_collision,clear,2023-08-24,True,0,1,1599.25,paid,1506.51,0,
CM007959,CL003379,VH002974,,PR000173,PR000102,rear_end_collision,clear,2025-10-30,True,1,0,4517.22,denied,0.0,0,
CM008045,CL002568,VH001636,PR000034,PR000083,,multi_vehicle_pileup,fog,2023-09-16,True,1,0,2900.25,under_review,,0,
CM006954,CL003117,VH001347,,PR000142,PR000237,parking_lot,clear,2023-08-04,True,0,0,843.42,denied,0.0,0,
CM005912,CL002918,VH001122,,,,rear_end_collision,clear,2023-03-07,True,0,1,3604.52,paid,3578.14,0,
CM000765,CL003160,VH002641,,PR000108,,sideswipe,clear,2025-06-02,False,0,0,11617.79,denied,0.0,0,
CM007539,CL000978,VH000365,PR000034,PR000111,PR000237,multi_vehicle_pileup,snow,2025-10-14,False,0,1,2087.77,paid,1890.83,0,
CM004272,CL003778,VH002048,,,,multi_vehicle_pileup,snow,2024-11-10,True,0,0,11998.07,paid,11538.45,0,
CM005800,CL000772,VH003962,PR000144,PR000013,PR000139,single_vehicle,rain,2025-05-28,False,0,0,4768.72,paid,4368.17,0,
CM008124,CL000374,VH002276,PR000059,PR000123,,sideswipe,clear,2025-08-23,True,1,0,1818.09,paid,1668.0,0,
CM005170,CL003177,VH003391,,,PR000020,single_vehicle,clear,2024-12-20,False,1,1,2030.32,under_review,,0,
CM006243,CL002779,VH003358,,PR000110,PR000126,sideswipe,clear,2024-02-05,True,1,0,4375.98,paid,4258.09,0,
CM007511,CL003198,VH001927,,PR000142,,multi_vehicle_pileup,rain,2024-07-01,True,0,1,379.93,paid,359.44,0,
CM006099,CL001642,VH000723,,PR000083,PR000193,sideswipe,snow,2025-11-28,True,1,1,2623.24,paid,2394.16,0,
CM005492,CL001368,VH000233,PR000216,PR000180,,rear_end_collision,clear,2024-07-16,True,1,1,1874.06,paid,1759.05,0,
CM005844,CL002616,VH002066,PR000234,PR000150,,parking_lot,clear,2025-11-18,True,0,2,1416.05,paid,1348.73,0,
CM001407,CL000318,VH001262,PR000212,,,single_vehicle,fog,2023-10-01,True,0,0,1653.65,paid,1608.29,0,
CM001431,CL003286,VH002970,PR000039,PR000091,,multi_vehicle_pileup,fog,2025-05-29,False,0,2,5470.81,under_review,,0,
CM005825,CL002136,VH000769,PR000081,PR000117,PR000139,single_vehicle,clear,2025-05-26,True,0,0,847.91,paid,807.95,0,
CM004229,CL002159,VH003456,,PR000058,,multi_vehicle_pileup,fog,2024-01-07,True,0,3,4500.79,paid,4375.12,0,
CM003000,CL001702,VH001901,,,,parking_lot,clear,2023-09-07,True,1,1,2664.72,paid,2660.86,0,
CM008832,CL002509,VH001967,PR000244,PR000083,,rear_end_collision,clear,2023-12-04,True,1,0,4916.82,paid,4868.06,1,RING017
CM001663,CL001361,VH000952,,PR000241,,single_vehicle,rain,2024-03-31,True,0,0,594.16,paid,574.74,0,
CM006446,CL002556,VH003987,,PR000132,,sideswipe,clear,2025-02-03,True,0,1,7942.53,paid,7538.69,0,
CM006977,CL003959,VH002732,,PR000138,,multi_vehicle_pileup,rain,2023-06-16,False,0,1,3262.08,under_review,,0,
CM003464,CL003618,VH000823,,PR000138,,sideswipe,fog,2025-08-14,True,2,2,2997.69,paid,2745.37,0,
CM004406,CL000531,VH001558,,,,multi_vehicle_pileup,clear,2023-11-21,True,1,2,6317.38,paid,5963.07,0,
CM008257,CL000151,VH000578,PR000192,PR000220,PR000053,multi_vehicle_pileup,clear,2025-03-06,True,0,0,1037.13,paid,1032.79,0,
CM001878,CL001472,VH001507,,PR000062,,sideswipe,snow,2024-03-29,False,0,2,740.94,paid,729.26,0,
CM004973,CL001479,VH003887,PR000034,PR000009,PR000193,rear_end_collision,clear,2025-11-21,True,0,2,5173.89,paid,4935.74,0,
CM007925,CL000419,VH003508,,,,rear_end_collision,clear,2024-03-14,True,2,1,1370.35,paid,1264.41,0,
CM005313,CL001356,VH000800,,PR000138,PR000007,sideswipe,rain,2024-12-14,True,0,2,2882.82,paid,2854.27,0,
CM005181,CL003201,VH001178,,PR000097,,sideswipe,clear,2024-06-10,False,0,0,12050.87,paid,10995.31,0,
CM005683,CL002947,VH000671,,PR000042,,parking_lot,fog,2024-06-29,True,0,0,5884.08,paid,5711.39,0,
CM007025,CL001422,VH002133,,PR000210,,single_vehicle,snow,2023-02-19,True,0,1,4400.76,paid,4391.17,0,
CM000223,CL000909,VH001620,PR000093,PR000032,,rear_end_collision,clear,2025-01-02,True,0,0,4222.75,paid,3951.14,0,
CM001056,CL000835,VH001500,,PR000107,,sideswipe,clear,2024-01-06,True,0,1,1518.62,paid,1420.82,0,
CM002621,CL003259,VH002673,PR000021,PR000142,,single_vehicle,clear,2023-04-03,True,0,0,5140.3,paid,4868.24,0,
CM004392,CL000659,VH002065,,PR000166,,parking_lot,rain,2023-07-02,True,2,1,3096.24,paid,2967.58,0,
CM007493,CL001160,VH000616,PR000248,PR000182,,parking_lot,clear,2023-03-31,False,0,1,7249.96,paid,6968.78,0,
CM003002,CL001733,VH001960,,PR000084,PR000232,single_vehicle,rain,2025-04-24,True,2,1,3496.84,paid,3376.63,0,
CM005636,CL003051,VH002256,PR000112,,,rear_end_collision,clear,2025-05-30,True,0,0,3334.78,denied,0.0,0,
CM004059,CL001092,VH002744,PR000004,PR000133,,rear_end_collision,fog,2023-08-19,True,1,0,1114.65,denied,0.0,0,
CM006214,CL000891,VH002244,PR000248,PR000062,,multi_vehicle_pileup,fog,2023-11-15,True,0,0,8076.26,paid,7731.3,0,
CM007676,CL003768,VH000027,,,,single_vehicle,clear,2023-01-25,True,0,0,2072.88,paid,2020.87,0,
CM006359,CL002340,VH000837,PR000023,PR000132,,parking_lot,clear,2024-05-30,True,0,0,7563.56,paid,6985.09,0,
CM005119,CL003464,VH002248,PR000036,PR000145,,single_vehicle,clear,2025-09-17,True,0,1,5950.6,paid,5859.26,0,
CM003459,CL000557,VH002282,PR000249,PR000091,,parking_lot,clear,2024-10-09,True,0,3,3086.07,under_review,,0,
CM006384,CL002505,VH000429,PR000063,PR000124,,sideswipe,clear,2024-07-20,True,0,0,8561.26,paid,7774.72,0,
CM000568,CL003984,VH003413,,PR000174,,multi_vehicle_pileup,rain,2023-02-12,True,0,1,3804.97,paid,3478.71,0,
CM007262,CL002413,VH001675,,,,single_vehicle,snow,2023-04-15,False,0,0,2451.33,paid,2312.58,0,
CM004348,CL003374,VH003453,PR000068,PR000154,,parking_lot,rain,2025-11-21,True,0,0,1947.04,paid,1936.99,0,
CM007585,CL000519,VH001637,,PR000124,,single_vehicle,clear,2024-04-11,True,0,1,2594.3,paid,2523.47,0,
CM001422,CL003948,VH000648,PR000019,PR000209,PR000053,sideswipe,clear,2025-06-01,False,1,0,4531.6,paid,4267.21,0,
CM007989,CL002567,VH001961,,PR000040,,parking_lot,snow,2025-10-03,True,0,1,5788.55,paid,5604.88,0,
CM001700,CL002304,VH000190,,PR000084,,multi_vehicle_pileup,rain,2023-05-23,True,0,1,655.81,paid,643.27,0,
CM000648,CL001427,VH000990,PR000056,PR000151,,sideswipe,rain,2024-09-20,False,1,0,1782.49,paid,1680.35,0,
CM006281,CL000687,VH003150,PR000156,,,parking_lot,rain,2025-02-12,True,1,3,2283.3,paid,2138.12,0,
CM006080,CL003250,VH001701,PR000025,PR000041,,single_vehicle,clear,2025-08-24,True,2,1,3363.42,paid,3111.93,0,
CM006946,CL003036,VH000002,PR000010,PR000197,,sideswipe,clear,2023-09-14,True,0,1,1163.93,paid,1118.65,0,
CM003465,CL003551,VH003193,PR000089,,,single_vehicle,clear,2024-10-31,True,0,0,4964.53,paid,4769.85,0,
CM005258,CL002019,VH000891,,PR000225,,multi_vehicle_pileup,snow,2023-08-21,True,1,0,1706.16,under_review,,0,
CM004157,CL000421,VH003091,PR000036,,,sideswipe,fog,2024-06-02,True,0,0,2051.6,paid,1973.3,0,
CM008654,CL001476,VH002948,PR000114,PR000243,,sideswipe,clear,2025-01-11,True,0,1,7966.01,paid,7604.88,1,RING009
CM000316,CL000642,VH000060,,PR000084,PR000130,multi_vehicle_pileup,snow,2025-11-07,True,0,1,4138.62,paid,3862.54,0,
CM002115,CL000346,VH003542,PR000048,PR000042,,multi_vehicle_pileup,clear,2025-01-06,True,0,0,2913.33,paid,2666.87,0,
CM001569,CL000174,VH001340,,PR000075,,rear_end_collision,snow,2025-05-13,True,1,0,5794.55,paid,5594.84,0,
CM002479,CL002269,VH003290,,PR000132,,parking_lot,clear,2023-05-07,False,0,0,15460.14,paid,14922.66,0,
CM005681,CL003110,VH001923,PR000002,PR000028,,single_vehicle,clear,2023-05-11,True,0,2,4361.36,paid,4082.42,0,
CM002338,CL002658,VH003299,PR000171,PR000024,,multi_vehicle_pileup,clear,2023-06-18,False,0,1,2404.83,paid,2223.17,0,
CM004766,CL003879,VH002281,PR000167,PR000131,,multi_vehicle_pileup,clear,2023-02-01,True,0,0,2512.9,paid,2433.09,0,
CM005020,CL002531,VH002077,PR000144,PR000184,,multi_vehicle_pileup,clear,2023-02-17,True,0,0,6927.89,paid,6818.88,0,
CM001672,CL002527,VH000802,PR000078,PR000009,,sideswipe,clear,2024-02-02,False,0,1,1991.79,paid,1802.82,0,
CM004588,CL000223,VH003795,PR000187,PR000150,,rear_end_collision,clear,2023-11-08,True,0,0,2353.44,paid,2258.75,0,
CM006616,CL002515,VH001312,,PR000108,,parking_lot,clear,2023-07-23,True,0,1,3707.2,paid,3567.55,0,
CM001722,CL001824,VH002267,PR000158,,,single_vehicle,clear,2024-08-08,True,0,1,463.83,paid,421.62,0,
CM008857,CL003797,VH003129,PR000049,PR000045,,single_vehicle,clear,2024-08-26,True,2,0,13907.45,denied,0.0,1,RING018
CM001624,CL003395,VH001770,,,,rear_end_collision,clear,2024-04-23,True,0,0,8849.36,paid,8043.01,0,
CM002088,CL001704,VH001295,,PR000203,,parking_lot,rain,2024-07-31,False,2,0,1094.45,under_review,,0,
CM006062,CL003716,VH000517,PR000088,PR000038,,sideswipe,clear,2025-04-21,True,1,0,5219.38,paid,5066.1,0,
CM000555,CL000778,VH002027,PR000068,,,parking_lot,rain,2023-12-10,True,0,1,3385.32,paid,3246.08,0,
CM001616,CL002804,VH001034,,PR000050,,parking_lot,clear,2024-02-11,True,1,2,1205.15,paid,1186.35,0,
CM000719,CL000575,VH002782,PR000036,PR000097,,single_vehicle,clear,2025-02-20,True,0,0,3903.47,paid,3517.82,0,
CM002139,CL002227,VH002563,PR000093,PR000015,,single_vehicle,snow,2023-07-08,False,1,1,4420.19,paid,3979.02,0,
CM007404,CL000007,VH001800,PR000196,PR000154,,multi_vehicle_pileup,rain,2024-08-04,False,0,1,1767.31,paid,1733.0,0,
CM008651,CL003285,VH003251,PR000046,PR000201,PR000230,single_vehicle,clear,2025-02-16,True,1,0,3359.73,paid,3202.71,1,RING008
CM005145,CL001195,VH001904,PR000240,PR000028,,parking_lot,clear,2024-04-11,True,0,0,2649.51,denied,0.0,0,
CM005345,CL000678,VH003319,PR000006,PR000040,,single_vehicle,rain,2025-09-20,True,0,0,4793.41,paid,4388.29,0,
CM001143,CL003867,VH002542,PR000034,PR000203,,single_vehicle,clear,2025-07-01,True,0,1,5511.71,paid,5101.93,0,
CM006352,CL003597,VH002620,PR000025,PR000245,,single_vehicle,clear,2025-08-23,True,0,1,3556.25,paid,3248.36,0,
CM006274,CL000342,VH001121,PR000216,PR000205,,single_vehicle,clear,2024-05-18,True,0,1,3276.92,paid,3110.3,0,
CM002689,CL003921,VH002593,,PR000084,,multi_vehicle_pileup,clear,2023-03-31,True,0,0,4446.66,paid,4184.12,0,
CM007366,CL003452,VH003812,PR000066,PR000052,,rear_end_collision,rain,2024-06-01,False,1,1,11345.28,paid,10743.36,0,
CM004104,CL003088,VH002404,,PR000117,PR000102,multi_vehicle_pileup,fog,2023-12-30,True,0,0,6542.68,paid,5967.08,0,
CM008710,CL000911,VH000717,PR000104,PR000075,PR000188,multi_vehicle_pileup,clear,2025-10-23,True,0,0,2229.04,paid,2163.1,1,RING010
CM003705,CL002261,VH002757,PR000006,,,single_vehicle,clear,2023-05-19,True,0,0,3506.79,paid,3352.85,0,
CM001163,CL002099,VH003284,PR000074,,,single_vehicle,clear,2025-09-14,True,0,1,3538.03,under_review,,0,
CM004422,CL003617,VH000070,PR000222,PR000097,,single_vehicle,fog,2025-03-22,True,0,1,4121.64,paid,4109.95,0,
CM006175,CL002662,VH000816,,PR000201,,parking_lot,clear,2023-07-26,True,0,0,3350.01,paid,3276.4,0,
CM006138,CL003949,VH003463,PR000208,PR000041,,multi_vehicle_pileup,clear,2025-01-09,True,0,1,6810.82,paid,6563.22,0,
CM004334,CL000546,VH001454,,PR000037,,rear_end_collision,fog,2024-12-13,True,0,1,7258.75,paid,7001.06,0,
CM008879,CL002657,VH003036,PR000049,PR000045,,sideswipe,rain,2024-08-03,True,1,0,5382.47,under_review,,1,RING018
CM000867,CL002417,VH001936,,PR000040,,single_vehicle,clear,2024-01-02,True,0,0,6563.83,under_review,,0,
CM000621,CL001723,VH000713,PR000066,PR000013,,multi_vehicle_pileup,fog,2024-01-12,True,1,2,1437.28,paid,1393.77,0,
CM005917,CL000500,VH001130,PR000046,PR000037,,rear_end_collision,clear,2024-03-30,True,0,1,6660.52,paid,6507.98,0,
CM005324,CL000944,VH000054,PR000031,,,parking_lot,clear,2024-12-13,False,2,1,8733.64,denied,0.0,0,
CM003718,CL002453,VH000742,,PR000018,,sideswipe,clear,2024-06-08,True,0,1,6407.05,paid,6273.8,0,
CM006840,CL001524,VH000199,PR000001,,,parking_lot,clear,2023-10-03,True,0,2,5386.63,under_review,,0,
CM007854,CL002649,VH003383,,PR000086,,multi_vehicle_pileup,clear,2023-11-27,False,0,1,7865.63,under_review,,0,
CM007895,CL000694,VH000456,,PR000142,,sideswipe,fog,2025-09-09,True,0,3,3130.13,paid,2906.29,0,
CM002246,CL002554,VH000498,,PR000028,,sideswipe,clear,2024-06-23,True,1,0,10792.68,paid,10441.65,0,
CM005874,CL003811,VH002539,,,,single_vehicle,snow,2023-02-12,True,0,1,713.97,paid,710.17,0,
CM008179,CL003351,VH003764,PR000153,PR000199,,sideswipe,rain,2024-12-05,True,0,0,2579.32,under_review,,0,
CM006598,CL003526,VH001261,PR000035,PR000134,,single_vehicle,clear,2025-12-16,True,0,1,7374.56,under_review,,0,
CM008281,CL002106,VH001694,,PR000131,,parking_lot,fog,2025-10-20,True,0,2,952.79,paid,874.39,0,
CM006059,CL000937,VH001155,PR000022,,,rear_end_collision,snow,2023-04-01,False,0,2,4192.62,paid,4006.31,0,
CM007749,CL001817,VH003397,PR000233,PR000160,,rear_end_collision,snow,2024-11-12,False,1,1,2406.05,paid,2336.46,0,
CM007536,CL000189,VH001688,PR000103,PR000115,,rear_end_collision,fog,2025-04-21,True,0,3,5152.1,paid,4778.45,0,
CM001632,CL000409,VH002442,,PR000138,,parking_lot,rain,2024-09-16,False,0,0,2090.89,paid,1957.79,0,
CM008700,CL000344,VH002525,PR000104,PR000075,PR000188,single_vehicle,rain,2025-09-27,False,1,0,2375.55,paid,2159.07,1,RING010
CM000361,CL002493,VH001814,PR000249,PR000243,,rear_end_collision,clear,2025-06-01,False,0,1,2492.1,paid,2458.11,0,
CM004605,CL001072,VH003114,,PR000176,,sideswipe,clear,2023-08-07,True,0,0,4097.56,paid,3717.4,0,
CM006955,CL000277,VH003536,PR000212,PR000084,,multi_vehicle_pileup,clear,2024-03-02,True,0,2,2406.91,paid,2401.12,0,
CM002007,CL003327,VH000853,PR000096,PR000191,,parking_lot,fog,2025-08-25,True,0,2,2948.55,paid,2884.14,0,
CM003662,CL000581,VH000756,PR000023,,,parking_lot,clear,2025-10-27,False,0,0,5080.8,paid,4760.15,0,
CM004249,CL000221,VH001068,,PR000121,,rear_end_collision,clear,2024-11-11,True,0,0,3530.75,paid,3372.92,0,
CM003140,CL000984,VH001349,,PR000169,,parking_lot,clear,2024-06-14,True,0,3,3669.68,paid,3452.97,0,
CM008288,CL003289,VH001438,,PR000137,,single_vehicle,rain,2023-07-23,False,0,1,3378.78,under_review,,0,
CM004372,CL001441,VH002097,,,,sideswipe,clear,2024-12-11,True,0,0,1438.58,under_review,,0,
CM002628,CL002455,VH000698,PR000198,PR000038,,parking_lot,snow,2025-06-14,True,0,2,13919.48,denied,0.0,0,
CM008166,CL000795,VH000786,PR000002,PR000067,,sideswipe,rain,2023-03-04,True,0,1,1124.8,paid,1027.11,0,
CM005581,CL000705,VH002119,PR000208,PR000211,,parking_lot,clear,2023-02-16,False,0,0,4283.09,paid,4094.94,0,
CM003792,CL002979,VH003463,PR000019,PR000160,,sideswipe,clear,2023-05-03,False,1,0,7168.78,paid,7122.92,0,
CM008789,CL001293,VH002962,PR000156,PR000174,PR000122,multi_vehicle_pileup,clear,2023-08-09,True,1,0,9007.34,partially_paid,4750.95,1,RING014
CM004551,CL001365,VH003972,PR000186,PR000040,,sideswipe,clear,2025-06-21,True,0,0,11983.22,paid,11331.66,0,
CM008918,CL000054,VH003867,PR000129,PR000128,,sideswipe,clear,2024-04-08,True,1,0,3672.09,paid,3358.85,1,RING021
CM007376,CL001480,VH000361,PR000198,PR000228,,rear_end_collision,rain,2025-11-05,False,1,0,3394.07,paid,3055.87,0,
CM002752,CL000090,VH003763,,PR000142,,parking_lot,fog,2024-06-04,False,0,1,3353.55,paid,3056.01,0,
CM005225,CL003057,VH003784,PR000103,PR000105,,parking_lot,snow,2023-12-31,True,1,0,2550.58,paid,2460.57,0,
CM001492,CL003823,VH001710,,,,single_vehicle,fog,2023-10-17,True,1,0,3548.55,paid,3229.93,0,
CM006022,CL002519,VH002196,PR000153,,,rear_end_collision,fog,2024-02-26,True,1,1,7419.93,paid,7109.26,0,
CM006374,CL003406,VH001649,,PR000128,,single_vehicle,clear,2024-10-28,True,0,1,2409.05,paid,2280.06,0,
CM000240,CL000507,VH003355,PR000014,PR000242,PR000102,multi_vehicle_pileup,rain,2024-04-10,False,0,0,6415.58,paid,6075.17,0,
CM003249,CL001095,VH002000,PR000118,PR000242,,single_vehicle,clear,2023-12-11,True,0,0,11079.91,paid,10605.81,0,
CM002888,CL002797,VH000101,PR000085,,,sideswipe,rain,2024-06-05,True,1,2,2906.27,paid,2893.28,0,
CM007662,CL003886,VH001375,PR000159,PR000137,,sideswipe,clear,2023-03-24,True,0,0,1074.78,paid,980.32,0,
CM000081,CL003622,VH003073,,PR000245,,parking_lot,rain,2025-04-05,True,0,3,2868.47,paid,2703.06,0,
CM001615,CL002421,VH001433,,PR000184,,sideswipe,clear,2023-02-07,True,2,1,4362.92,paid,4310.11,0,
CM007809,CL002322,VH000060,,PR000032,,single_vehicle,clear,2025-06-07,True,0,2,1632.76,paid,1590.22,0,
CM005532,CL003729,VH000497,,PR000042,PR000175,rear_end_collision,snow,2025-12-28,True,0,1,2439.21,paid,2232.2,0,
CM008231,CL000107,VH002432,PR000214,PR000128,,parking_lot,clear,2025-10-21,True,0,0,1200.38,paid,1155.2,0,
CM002457,CL000725,VH002496,PR000056,PR000242,,single_vehicle,clear,2024-02-16,False,0,1,3381.48,paid,3320.22,0,
CM007567,CL001247,VH001362,,PR000062,,single_vehicle,clear,2024-12-15,False,0,0,2317.1,under_review,,0,
CM008708,CL000133,VH001966,PR000104,PR000075,PR000188,multi_vehicle_pileup,snow,2025-10-03,False,0,0,6915.65,partially_paid,3969.56,1,RING010
CM002575,CL000015,VH001617,,PR000201,,rear_end_collision,clear,2024-11-15,True,0,1,635.6,under_review,,0,
CM001418,CL002802,VH002170,,,PR000188,rear_end_collision,clear,2024-07-27,True,0,1,1619.63,paid,1555.06,0,
CM004081,CL003380,VH001378,PR000198,PR000151,,single_vehicle,clear,2024-03-08,True,0,1,4751.75,paid,4474.04,0,
CM007375,CL000127,VH002918,PR000072,PR000094,,single_vehicle,clear,2023-10-09,True,0,0,2325.73,paid,2288.64,0,
CM005431,CL000754,VH003859,,PR000178,,sideswipe,rain,2024-01-16,True,0,1,1139.38,paid,1066.9,0,
