claim_id,claimant_id,vehicle_id,clinic_provider_id,repair_provider_id,attorney_provider_id,incident_type,weather_condition,claim_date,police_report_filed,injuries_count,witnesses_count,claim_amount,claim_status,payout_amount,is_fraud,fraud_ring_id,payout_ratio,claim_year,claim_month,claim_month_name,unpaid_amount
CM008750,CL002900,VH000401,PR000119,PR000197,PR000135,multi_vehicle_pileup,snow,2025-05-26,False,2,0,2255.52,partially_paid,1032.61,1,RING012,0.45781460594452716,2025,5,May,1222.91
CM006548,CL002297,VH001564,PR000195,PR000084,,single_vehicle,snow,2025-05-23,False,1,0,8296.17,paid,7931.31,0,,0.9560206697789462,2025,5,May,364.8599999999997
CM004630,CL001872,VH002607,PR000072,PR000099,,single_vehicle,fog,2024-04-05,True,0,1,1337.67,under_review,,0,,,2024,4,Apr,
CM001766,CL000089,VH003058,,PR000197,,single_vehicle,snow,2024-03-31,True,0,4,2509.38,paid,2281.91,0,,0.9093521108799782,2024,3,Mar,227.47000000000025
CM006222,CL002138,VH003632,,,,sideswipe,snow,2023-08-14,True,1,0,2460.16,paid,2378.54,0,,0.9668232960457857,2023,8,Aug,81.61999999999989
CM003940,CL003792,VH002377,,PR000108,,multi_vehicle_pileup,clear,2023-06-16,True,2,0,2316.62,paid,2179.45,0,,0.9407887353126537,2023,6,Jun,137.17000000000007
CM004873,CL003082,VH001101,,PR000029,,single_vehicle,clear,2023-04-21,True,0,0,8483.21,paid,8425.64,0,,0.993213653793788,2023,4,Apr,57.56999999999971
CM006530,CL003171,VH001197,,PR000220,,parking_lot,clear,2023-04-22,True,0,1,5977.55,paid,5952.19,0,,0.995757459159689,2023,4,Apr,25.360000000000582
CM000268,CL001415,VH003173,,PR000138,,rear_end_collision,clear,2023-01-28,False,0,1,2967.32,paid,2760.24,0,,0.9302131216046802,2023,1,Jan,207.08000000000038
CM003729,CL003045,VH003516,,PR000218,,single_vehicle,clear,2023-10-12,True,0,0,2906.36,paid,2785.47,0,,0.9584050152080265,2023,10,Oct,120.89000000000033
CM008113,CL003340,VH000500,PR000198,PR000013,,parking_lot,clear,2025-01-20,True,0,0,4252.94,paid,4225.66,0,,0.993585613716629,2025,1,Jan,27.279999999999745
CM007278,CL000999,VH002867,PR000033,PR000202,,rear_end_collision,fog,2024-03-18,False,0,0,3550.17,under_review,,0,,,2024,3,Mar,
CM007472,CL000896,VH000756,,,,multi_vehicle_pileup,clear,2025-12-27,True,0,2,5505.49,paid,5458.08,0,,0.9913885957471542,2025,12,Dec,47.409999999999854
CM000170,CL000404,VH002200,,PR000005,,parking_lot,clear,2025-04-28,True,0,0,4768.37,paid,4703.73,0,,0.9864440049744462,2025,4,Apr,64.64000000000033
CM006102,CL002196,VH003576,,PR000047,,multi_vehicle_pileup,clear,2025-10-24,True,1,1,1400.4,paid,1280.88,0,,0.9146529562982005,2025,10,Oct,119.51999999999998
CM002933,CL001505,VH001300,PR000114,PR000245,,rear_end_collision,fog,2025-09-22,True,0,1,3780.65,paid,3492.99,0,,0.9239125547194265,2025,9,Sep,287.6600000000003
CM001916,CL001962,VH001992,,PR000225,PR000100,parking_lot,clear,2024-01-01,False,1,1,1717.29,paid,1587.98,0,,0.924701127939952,2024,1,Jan,129.30999999999995
CM002376,CL000749,VH002576,PR000208,,,multi_vehicle_pileup,clear,2023-02-03,True,2,2,1393.48,paid,1268.2,0,,0.9100955880242272,2023,2,Feb,125.27999999999997
CM000995,CL001089,VH000384,PR000200,,,rear_end_collision,rain,2024-04-26,True,0,0,2951.36,paid,2709.43,0,,0.91802762116448,2024,4,Apr,241.9300000000003
CM002895,CL002417,VH000204,,PR000041,,rear_end_collision,clear,2023-01-10,False,0,0,2017.86,paid,1912.58,0,,0.9478259145827759,2023,1,Jan,105.27999999999997
CM006227,CL000228,VH002780,PR000033,,,sideswipe,fog,2025-10-05,True,0,2,5071.67,paid,4759.08,0,,0.9383654693621627,2025,10,Oct,312.59000000000015
CM007196,CL003483,VH000035,PR000031,PR000172,,single_vehicle,rain,2025-08-16,False,0,0,898.69,paid,846.01,0,,0.9413813439562029,2025,8,Aug,52.680000000000064
CM002421,CL002421,VH002064,PR000025,PR000040,,sideswipe,fog,2024-08-01,False,1,3,6590.88,paid,6193.06,0,,0.9396408370354187,2024,8,Aug,397.8199999999997
CM001598,CL002542,VH000575,,PR000179,,single_vehicle,rain,2023-07-10,True,0,1,3425.03,paid,3163.08,0,,0.9235189180824692,2023,7,Jul,261.9500000000003
CM006573,CL003311,VH000455,,PR000207,,parking_lot,fog,2023-11-17,True,1,0,3784.96,paid,3756.27,0,,0.9924199991545485,2023,11,Nov,28.690000000000055
CM006692,CL003691,VH002389,,PR000199,,single_vehicle,clear,2025-06-10,True,2,0,3303.76,paid,3236.05,0,,0.9795051698670606,2025,6,Jun,67.71000000000004
CM007777,CL000114,VH002848,PR000074,PR000176,,sideswipe,snow,2025-02-27,True,0,1,3608.73,paid,3598.28,0,,0.9971042444294808,2025,2,Feb,10.449999999999818
CM000213,CL003880,VH002350,,PR000083,,multi_vehicle_pileup,rain,2024-08-17,True,1,4,1273.55,paid,1247.03,0,,0.9791763181657571,2024,8,Aug,26.519999999999982
CM001513,CL000686,VH001768,PR000056,PR000110,,parking_lot,fog,2025-07-31,True,1,0,3185.0,paid,2954.19,0,,0.9275321821036107,2025,7,Jul,230.80999999999995
CM006783,CL000876,VH000318,PR000031,,,parking_lot,snow,2023-01-24,True,0,1,909.11,paid,863.75,0,,0.9501050477939963,2023,1,Jan,45.360000000000014
CM001453,CL003928,VH000353,,,,parking_lot,rain,2024-10-17,True,0,0,1559.69,denied,0.0,0,,0.0,2024,10,Oct,1559.69
CM007338,CL003703,VH001322,,PR000117,PR000215,multi_vehicle_pileup,clear,2025-04-04,False,1,1,3084.98,paid,2907.67,0,,0.9425247489448878,2025,4,Apr,177.30999999999995
CM006707,CL001847,VH002860,PR000125,PR000166,,sideswipe,clear,2023-08-16,True,0,2,2588.77,paid,2378.91,0,,0.9189344746733004,2023,8,Aug,209.86000000000013
CM005453,CL003778,VH001673,,PR000124,,multi_vehicle_pileup,clear,2023-06-22,True,0,0,2231.78,paid,2134.21,0,,0.9562815331260249,2023,6,Jun,97.57000000000016
CM000928,CL002357,VH002693,PR000093,PR000117,,parking_lot,clear,2023-10-31,True,1,0,250.92,paid,227.02,0,,0.9047505180934163,2023,10,Oct,23.899999999999977
CM002898,CL001309,VH000439,PR000085,PR000142,PR000135,multi_vehicle_pileup,clear,2024-11-15,True,1,1,3779.3,paid,3544.05,0,,0.9377530230465959,2024,11,Nov,235.25
CM007089,CL002477,VH001066,,PR000121,,sideswipe,clear,2025-12-05,True,1,0,2291.83,paid,2194.17,0,,0.9573877643629763,2025,12,Dec,97.65999999999985
CM001889,CL000287,VH000371,PR000238,PR000000,,rear_end_collision,clear,2023-08-26,True,0,0,2776.9,paid,2633.4,0,,0.9483236702798085,2023,8,Aug,143.5
CM002550,CL002616,VH002209,PR000114,PR000024,,sideswipe,fog,2023-08-08,True,1,0,836.29,under_review,,0,,,2023,8,Aug,
CM005539,CL001264,VH001047,,PR000097,,multi_vehicle_pileup,rain,2024-05-30,False,0,2,3545.06,paid,3293.73,0,,0.9291041618477544,2024,5,May,251.32999999999993
CM007074,CL000020,VH001519,PR000189,PR000108,,parking_lot,snow,2023-06-29,True,0,0,3035.32,paid,3031.53,0,,0.9987513672364035,2023,6,Jun,3.7899999999999636
CM001576,CL003611,VH002275,PR000113,PR000241,,rear_end_collision,rain,2025-08-01,True,0,0,3798.76,paid,3711.73,0,,0.9770898924912339,2025,8,Aug,87.0300000000002
CM007151,CL003881,VH001089,,PR000226,,parking_lot,fog,2024-10-12,True,0,0,1956.22,paid,1851.53,0,,0.9464835243479772,2024,10,Oct,104.69000000000005
CM002408,CL002123,VH001072,,PR000105,,rear_end_collision,clear,2023-08-24,True,0,1,1599.25,paid,1506.51,0,,0.9420103173362514,2023,8,Aug,92.74000000000001
CM007959,CL003379,VH002974,,PR000173,PR000102,rear_end_collision,clear,2025-10-30,True,1,0,4517.22,denied,0.0,0,,0.0,2025,10,Oct,4517.22
CM008045,CL002568,VH001636,PR000034,PR000083,,multi_vehicle_pileup,fog,2023-09-16,True,1,0,2900.25,under_review,,0,,,2023,9,Sep,
CM006954,CL003117,VH001347,,PR000142,PR000237,parking_lot,clear,2023-08-04,True,0,0,843.42,denied,0.0,0,,0.0,2023,8,Aug,843.42
CM005912,CL002918,VH001122,,,,rear_end_collision,clear,2023-03-07,True,0,1,3604.52,paid,3578.14,0,,0.9926814111171529,2023,3,Mar,26.38000000000011
CM000765,CL003160,VH002641,,PR000108,,sideswipe,clear,2025-06-02,False,0,0,11617.79,denied,0.0,0,,0.0,2025,6,Jun,11617.79
CM007539,CL000978,VH000365,PR000034,PR000111,PR000237,multi_vehicle_pileup,snow,2025-10-14,False,0,1,2087.77,paid,1890.83,0,,0.9056696858370414,2025,10,Oct,196.94000000000005
CM004272,CL003778,VH002048,,,,multi_vehicle_pileup,snow,2024-11-10,True,0,0,11998.07,paid,11538.45,0,,0.9616921721576888,2024,11,Nov,459.619999999999
CM005800,CL000772,VH003962,PR000144,PR000013,PR000139,single_vehicle,rain,2025-05-28,False,0,0,4768.72,paid,4368.17,0,,0.9160047140532469,2025,5,May,400.5500000000002
CM008124,CL000374,VH002276,PR000059,PR000123,,sideswipe,clear,2025-08-23,True,1,0,1818.09,paid,1668.0,0,,0.9174463310397175,2025,8,Aug,150.08999999999992
CM005170,CL003177,VH003391,,,PR000020,single_vehicle,clear,2024-12-20,False,1,1,2030.32,under_review,,0,,,2024,12,Dec,
CM006243,CL002779,VH003358,,PR000110,PR000126,sideswipe,clear,2024-02-05,True,1,0,4375.98,paid,4258.09,0,,0.9730597489019603,2024,2,Feb,117.88999999999942
CM007511,CL003198,VH001927,,PR000142,,multi_vehicle_pileup,rain,2024-07-01,True,0,1,379.93,paid,359.44,0,,0.9460690127128681,2024,7,Jul,20.49000000000001
CM006099,CL001642,VH000723,,PR000083,PR000193,sideswipe,snow,2025-11-28,True,1,1,2623.24,paid,2394.16,0,,0.9126728778152209,2025,11,Nov,229.07999999999993
CM005492,CL001368,VH000233,PR000216,PR000180,,rear_end_collision,clear,2024-07-16,True,1,1,1874.06,paid,1759.05,0,,0.9386305667908178,2024,7,Jul,115.00999999999999
CM005844,CL002616,VH002066,PR000234,PR000150,,parking_lot,clear,2025-11-18,True,0,2,1416.05,paid,1348.73,0,,0.9524593058154727,2025,11,Nov,67.31999999999994
CM001407,CL000318,VH001262,PR000212,,,single_vehicle,fog,2023-10-01,True,0,0,1653.65,paid,1608.29,0,,0.9725697699029419,2023,10,Oct,45.36000000000013
CM001431,CL003286,VH002970,PR000039,PR000091,,multi_vehicle_pileup,fog,2025-05-29,False,0,2,5470.81,under_review,,0,,,2025,5,May,
CM005825,CL002136,VH000769,PR000081,PR000117,PR000139,single_vehicle,clear,2025-05-26,True,0,0,847.91,paid,807.95,0,,0.9528723567359745,2025,5,May,39.95999999999992
CM004229,CL002159,VH003456,,PR000058,,multi_vehicle_pileup,fog,2024-01-07,True,0,3,4500.79,paid,4375.12,0,,0.9720782351542729,2024,1,Jan,125.67000000000007
CM003000,CL001702,VH001901,,,,parking_lot,clear,2023-09-07,True,1,1,2664.72,paid,2660.86,0,,0.9985514425530638,2023,9,Sep,3.8599999999996726
CM008832,CL002509,VH001967,PR000244,PR000083,,rear_end_collision,clear,2023-12-04,True,1,0,4916.82,paid,4868.06,1,RING017,0.9900830211396798,2023,12,Dec,48.75999999999931
CM001663,CL001361,VH000952,,PR000241,,single_vehicle,rain,2024-03-31,True,0,0,594.16,paid,574.74,0,,0.9673152012925812,2024,3,Mar,19.41999999999996
CM006446,CL002556,VH003987,,PR000132,,sideswipe,clear,2025-02-03,True,0,1,7942.53,paid,7538.69,0,,0.949154740366105,2025,2,Feb,403.84000000000015
CM006977,CL003959,VH002732,,PR000138,,multi_vehicle_pileup,rain,2023-06-16,False,0,1,3262.08,under_review,,0,,,2023,6,Jun,
CM003464,CL003618,VH000823,,PR000138,,sideswipe,fog,2025-08-14,True,2,2,2997.69,paid,2745.37,0,,0.9158285212947302,2025,8,Aug,252.32000000000016
CM004406,CL000531,VH001558,,,,multi_vehicle_pileup,clear,2023-11-21,True,1,2,6317.38,paid,5963.07,0,,0.9439150407289097,2023,11,Nov,354.3100000000004
CM008257,CL000151,VH000578,PR000192,PR000220,PR000053,multi_vehicle_pileup,clear,2025-03-06,True,0,0,1037.13,paid,1032.79,0,,0.99581537512173,2025,3,Mar,4.3400000000001455
CM001878,CL001472,VH001507,,PR000062,,sideswipe,snow,2024-03-29,False,0,2,740.94,paid,729.26,0,,0.9842362404513185,2024,3,Mar,11.680000000000064
CM004973,CL001479,VH003887,PR000034,PR000009,PR000193,rear_end_collision,clear,2025-11-21,True,0,2,5173.89,paid,4935.74,0,,0.9539708033993763,2025,11,Nov,238.15000000000055
CM007925,CL000419,VH003508,,,,rear_end_collision,clear,2024-03-14,True,2,1,1370.35,paid,1264.41,0,,0.9226912832488051,2024,3,Mar,105.93999999999983
CM005313,CL001356,VH000800,,PR000138,PR000007,sideswipe,rain,2024-12-14,True,0,2,2882.82,paid,2854.27,0,,0.9900965027299657,2024,12,Dec,28.550000000000182
CM005181,CL003201,VH001178,,PR000097,,sideswipe,clear,2024-06-10,False,0,0,12050.87,paid,10995.31,0,,0.9124079838219148,2024,6,Jun,1055.5600000000013
CM005683,CL002947,VH000671,,PR000042,,parking_lot,fog,2024-06-29,True,0,0,5884.08,paid,5711.39,0,,0.9706513167733954,2024,6,Jun,172.6899999999996
CM007025,CL001422,VH002133,,PR000210,,single_vehicle,snow,2023-02-19,True,0,1,4400.76,paid,4391.17,0,,0.9978208309473818,2023,2,Feb,9.590000000000146
CM000223,CL000909,VH001620,PR000093,PR000032,,rear_end_collision,clear,2025-01-02,True,0,0,4222.75,paid,3951.14,0,,0.93567935586999,2025,1,Jan,271.6100000000001
CM001056,CL000835,VH001500,,PR000107,,sideswipe,clear,2024-01-06,True,0,1,1518.62,paid,1420.82,0,,0.9355994257944713,2024,1,Jan,97.79999999999995
CM002621,CL003259,VH002673,PR000021,PR000142,,single_vehicle,clear,2023-04-03,True,0,0,5140.3,paid,4868.24,0,,0.947073128027547,2023,4,Apr,272.0600000000004
CM004392,CL000659,VH002065,,PR000166,,parking_lot,rain,2023-07-02,True,2,1,3096.24,paid,2967.58,0,,0.9584463736661241,2023,7,Jul,128.65999999999985
CM007493,CL001160,VH000616,PR000248,PR000182,,parking_lot,clear,2023-03-31,False,0,1,7249.96,paid,6968.78,0,,0.9612163377453117,2023,3,Mar,281.1800000000003
CM003002,CL001733,VH001960,,PR000084,PR000232,single_vehicle,rain,2025-04-24,True,2,1,3496.84,paid,3376.63,0,,0.9656232484185722,2025,4,Apr,120.21000000000004
CM005636,CL003051,VH002256,PR000112,,,rear_end_collision,clear,2025-05-30,True,0,0,3334.78,denied,0.0,0,,0.0,2025,5,May,3334.78
CM004059,CL001092,VH002744,PR000004,PR000133,,rear_end_collision,fog,2023-08-19,True,1,0,1114.65,denied,0.0,0,,0.0,2023,8,Aug,1114.65
CM006214,CL000891,VH002244,PR000248,PR000062,,multi_vehicle_pileup,fog,2023-11-15,True,0,0,8076.26,paid,7731.3,0,,0.9572871601459091,2023,11,Nov,344.96000000000004
CM007676,CL003768,VH000027,,,,single_vehicle,clear,2023-01-25,True,0,0,2072.88,paid,2020.87,0,,0.9749093049284087,2023,1,Jan,52.01000000000022
CM006359,CL002340,VH000837,PR000023,PR000132,,parking_lot,clear,2024-05-30,True,0,0,7563.56,paid,6985.09,0,,0.9235188191803859,2024,5,May,578.4700000000003
CM005119,CL003464,VH002248,PR000036,PR000145,,single_vehicle,clear,2025-09-17,True,0,1,5950.6,paid,5859.26,0,,0.9846502873659799,2025,9,Sep,91.34000000000015
CM003459,CL000557,VH002282,PR000249,PR000091,,parking_lot,clear,2024-10-09,True,0,3,3086.07,under_review,,0,,,2024,10,Oct,
CM006384,CL002505,VH000429,PR000063,PR000124,,sideswipe,clear,2024-07-20,True,0,0,8561.26,paid,7774.72,0,,0.9081280091949082,2024,7,Jul,786.54
CM000568,CL003984,VH003413,,PR000174,,multi_vehicle_pileup,rain,2023-02-12,True,0,1,3804.97,paid,3478.71,0,,0.9142542516760974,2023,2,Feb,326.25999999999976
CM007262,CL002413,VH001675,,,,single_vehicle,snow,2023-04-15,False,0,0,2451.33,paid,2312.58,0,,0.9433980736987676,2023,4,Apr,138.75
CM004348,CL003374,VH003453,PR000068,PR000154,,parking_lot,rain,2025-11-21,True,0,0,1947.04,paid,1936.99,0,,0.9948383186786096,2025,11,Nov,10.049999999999955
CM007585,CL000519,VH001637,,PR000124,,single_vehicle,clear,2024-04-11,True,0,1,2594.3,paid,2523.47,0,,0.9726978375669736,2024,4,Apr,70.83000000000038
CM001422,CL003948,VH000648,PR000019,PR000209,PR000053,sideswipe,clear,2025-06-01,False,1,0,4531.6,paid,4267.21,0,,0.9416563686115279,2025,6,Jun,264.3900000000003
CM007989,CL002567,VH001961,,PR000040,,parking_lot,snow,2025-10-03,True,0,1,5788.55,paid,5604.88,0,,0.9682701194599683,2025,10,Oct,183.67000000000007
CM001700,CL002304,VH000190,,PR000084,,multi_vehicle_pileup,rain,2023-05-23,True,0,1,655.81,paid,643.27,0,,0.9808786081334533,2023,5,May,12.539999999999964
CM000648,CL001427,VH000990,PR000056,PR000151,,sideswipe,rain,2024-09-20,False,1,0,1782.49,paid,1680.35,0,,0.9426981357539173,2024,9,Sep,102.1400000000001
CM006281,CL000687,VH003150,PR000156,,,parking_lot,rain,2025-02-12,True,1,3,2283.3,paid,2138.12,0,,0.9364165900232119,2025,2,Feb,145.1800000000003
CM006080,CL003250,VH001701,PR000025,PR000041,,single_vehicle,clear,2025-08-24,True,2,1,3363.42,paid,3111.93,0,,0.925227893037444,2025,8,Aug,251.49000000000024
CM006946,CL003036,VH000002,PR000010,PR000197,,sideswipe,clear,2023-09-14,True,0,1,1163.93,paid,1118.65,0,,0.9610973168489514,2023,9,Sep,45.27999999999997
CM003465,CL003551,VH003193,PR000089,,,single_vehicle,clear,2024-10-31,True,0,0,4964.53,paid,4769.85,0,,0.9607858145685494,2024,10,Oct,194.67999999999938
CM005258,CL002019,VH000891,,PR000225,,multi_vehicle_pileup,snow,2023-08-21,True,1,0,1706.16,under_review,,0,,,2023,8,Aug,
CM004157,CL000421,VH003091,PR000036,,,sideswipe,fog,2024-06-02,True,0,0,2051.6,paid,1973.3,0,,0.9618346656268278,2024,6,Jun,78.29999999999995
CM008654,CL001476,VH002948,PR000114,PR000243,,sideswipe,clear,2025-01-11,True,0,1,7966.01,paid,7604.88,1,RING009,0.9546661377527771,2025,1,Jan,361.1300000000001
CM000316,CL000642,VH000060,,PR000084,PR000130,multi_vehicle_pileup,snow,2025-11-07,True,0,1,4138.62,paid,3862.54,0,,0.9332917735863645,2025,11,Nov,276.0799999999999
CM002115,CL000346,VH003542,PR000048,PR000042,,multi_vehicle_pileup,clear,2025-01-06,True,0,0,2913.33,paid,2666.87,0,,0.9154026492021158,2025,1,Jan,246.46000000000004
CM001569,CL000174,VH001340,,PR000075,,rear_end_collision,snow,2025-05-13,True,1,0,5794.55,paid,5594.84,0,,0.9655348560285095,2025,5,May,199.71000000000004
CM002479,CL002269,VH003290,,PR000132,,parking_lot,clear,2023-05-07,False,0,0,15460.14,paid,14922.66,0,,0.965234467475715,2023,5,May,537.4799999999996
CM005681,CL003110,VH001923,PR000002,PR000028,,single_vehicle,clear,2023-05-11,True,0,2,4361.36,paid,4082.42,0,,0.9360428857053764,2023,5,May,278.9399999999996
CM002338,CL002658,VH003299,PR000171,PR000024,,multi_vehicle_pileup,clear,2023-06-18,False,0,1,2404.83,paid,2223.17,0,,0.9244603568651423,2023,6,Jun,181.65999999999985
CM004766,CL003879,VH002281,PR000167,PR000131,,multi_vehicle_pileup,clear,2023-02-01,True,0,0,2512.9,paid,2433.09,0,,0.9682398822078078,2023,2,Feb,79.80999999999995
CM005020,CL002531,VH002077,PR000144,PR000184,,multi_vehicle_pileup,clear,2023-02-17,True,0,0,6927.89,paid,6818.88,0,,0.9842650503977401,2023,2,Feb,109.01000000000022
CM001672,CL002527,VH000802,PR000078,PR000009,,sideswipe,clear,2024-02-02,False,0,1,1991.79,paid,1802.82,0,,0.9051255403431084,2024,2,Feb,188.97000000000003
CM004588,CL000223,VH003795,PR000187,PR000150,,rear_end_collision,clear,2023-11-08,True,0,0,2353.44,paid,2258.75,0,,0.9597652797606907,2023,11,Nov,94.69000000000005
CM006616,CL002515,VH001312,,PR000108,,parking_lot,clear,2023-07-23,True,0,1,3707.2,paid,3567.55,0,,0.9623300604229609,2023,7,Jul,139.64999999999964
CM001722,CL001824,VH002267,PR000158,,,single_vehicle,clear,2024-08-08,True,0,1,463.83,paid,421.62,0,,0.9089968307353988,2024,8,Aug,42.20999999999998
CM008857,CL003797,VH003129,PR000049,PR000045,,single_vehicle,clear,2024-08-26,True,2,0,13907.45,denied,0.0,1,RING018,0.0,2024,8,Aug,13907.45
CM001624,CL003395,VH001770,,,,rear_end_collision,clear,2024-04-23,True,0,0,8849.36,paid,8043.01,0,,0.9088804162108898,2024,4,Apr,806.3500000000004
CM002088,CL001704,VH001295,,PR000203,,parking_lot,rain,2024-07-31,False,2,0,1094.45,under_review,,0,,,2024,7,Jul,
CM006062,CL003716,VH000517,PR000088,PR000038,,sideswipe,clear,2025-04-21,True,1,0,5219.38,paid,5066.1,0,,0.9706325272350357,2025,4,Apr,153.27999999999975
CM000555,CL000778,VH002027,PR000068,,,parking_lot,rain,2023-12-10,True,0,1,3385.32,paid,3246.08,0,,0.9588694717190693,2023,12,Dec,139.24000000000024
CM001616,CL002804,VH001034,,PR000050,,parking_lot,clear,2024-02-11,True,1,2,1205.15,paid,1186.35,0,,0.9844002821225573,2024,2,Feb,18.800000000000182
CM000719,CL000575,VH002782,PR000036,PR000097,,single_vehicle,clear,2025-02-20,True,0,0,3903.47,paid,3517.82,0,,0.9012032883562575,2025,2,Feb,385.64999999999964
CM002139,CL002227,VH002563,PR000093,PR000015,,single_vehicle,snow,2023-07-08,False,1,1,4420.19,paid,3979.02,0,,0.900192073191424,2023,7,Jul,441.1699999999996
CM007404,CL000007,VH001800,PR000196,PR000154,,multi_vehicle_pileup,rain,2024-08-04,False,0,1,1767.31,paid,1733.0,0,,0.9805863147948012,2024,8,Aug,34.309999999999945
CM008651,CL003285,VH003251,PR000046,PR000201,PR000230,single_vehicle,clear,2025-02-16,True,1,0,3359.73,paid,3202.71,1,RING008,0.9532641015795912,2025,2,Feb,157.01999999999998
CM005145,CL001195,VH001904,PR000240,PR000028,,parking_lot,clear,2024-04-11,True,0,0,2649.51,denied,0.0,0,,0.0,2024,4,Apr,2649.51
CM005345,CL000678,VH003319,PR000006,PR000040,,single_vehicle,rain,2025-09-20,True,0,0,4793.41,paid,4388.29,0,,0.9154839665290472,2025,9,Sep,405.1199999999999
CM001143,CL003867,VH002542,PR000034,PR000203,,single_vehicle,clear,2025-07-01,True,0,1,5511.71,paid,5101.93,0,,0.9256528373227184,2025,7,Jul,409.77999999999975
CM006352,CL003597,VH002620,PR000025,PR000245,,single_vehicle,clear,2025-08-23,True,0,1,3556.25,paid,3248.36,0,,0.9134228471001757,2025,8,Aug,307.8899999999999
CM006274,CL000342,VH001121,PR000216,PR000205,,single_vehicle,clear,2024-05-18,True,0,1,3276.92,paid,3110.3,0,,0.9491534733835432,2024,5,May,166.6199999999999
CM002689,CL003921,VH002593,,PR000084,,multi_vehicle_pileup,clear,2023-03-31,True,0,0,4446.66,paid,4184.12,0,,0.9409579324706634,2023,3,Mar,262.53999999999996
CM007366,CL003452,VH003812,PR000066,PR000052,,rear_end_collision,rain,2024-06-01,False,1,1,11345.28,paid,10743.36,0,,0.9469453376205788,2024,6,Jun,601.9200000000001
CM004104,CL003088,VH002404,,PR000117,PR000102,multi_vehicle_pileup,fog,2023-12-30,True,0,0,6542.68,paid,5967.08,0,,0.9120238189854921,2023,12,Dec,575.6000000000004
CM008710,CL000911,VH000717,PR000104,PR000075,PR000188,multi_vehicle_pileup,clear,2025-10-23,True,0,0,2229.04,paid,2163.1,1,RING010,0.9704177583174819,2025,10,Oct,65.94000000000005
CM003705,CL002261,VH002757,PR000006,,,single_vehicle,clear,2023-05-19,True,0,0,3506.79,paid,3352.85,0,,0.9561023043866328,2023,5,May,153.94000000000005
CM001163,CL002099,VH003284,PR000074,,,single_vehicle,clear,2025-09-14,True,0,1,3538.03,under_review,,0,,,2025,9,Sep,
CM004422,CL003617,VH000070,PR000222,PR000097,,single_vehicle,fog,2025-03-22,True,0,1,4121.64,paid,4109.95,0,,0.9971637503518016,2025,3,Mar,11.69000000000051
CM006175,CL002662,VH000816,,PR000201,,parking_lot,clear,2023-07-26,True,0,0,3350.01,paid,3276.4,0,,0.9780269312628918,2023,7,Jul,73.61000000000013
