vehicle_id,make,model,model_year,vehicle_type,fuel_type,market_value,vin_hash
VH000037,Hyundai,Elantra,2010,sedan,gasoline,2640.0,Ks19099052qu993587
VH000038,Ford,Mustang,2020,sedan,gasoline,13820.54,PV28873126Nk547322
VH000039,Nissan,Pathfinder,2010,suv,gasoline,4417.75,OE13009078oB732885
VH000040,Chevrolet,Silverado,2009,truck,hybrid,4920.0,dR46776302cI514739
VH000041,BMW,5 Series,2019,sedan,electric,20303.12,yX14563666EK101124
VH000042,Toyota,Tacoma,2017,truck,electric,10977.26,yQ16132903Pq634606
VH000043,BMW,5 Series,2020,sedan,hybrid,24051.38,sQ06060328lX760050
VH000044,Toyota,Highlander,2022,suv,gasoline,22003.9,aH42339935UD340914
VH000045,Chevrolet,Cruze,2015,sedan,hybrid,4720.09,FH44395449qd532255
VH000046,Ford,Focus,2024,sedan,gasoline,14451.89,RB71491209Ue796484
VH000047,BMW,X5,2020,suv,electric,29136.91,Jb51226218dv810299
VH000048,Honda,Civic,2019,sedan,hybrid,9013.45,pM80057275Es466857
VH000049,Nissan,Sentra,2008,sedan,gasoline,2520.0,nF41808167fg968771
VH000050,BMW,7 Series,2022,sedan,electric,48092.61,YB12566886Wm866575
VH000051,Chevrolet,Silverado,2008,truck,gasoline,4920.0,IG69977002gr491727
VH000052,Toyota,Camry,2016,sedan,gasoline,6686.07,Ca10348320tq872086
VH000053,Honda,Accord,2023,sedan,gasoline,21567.37,QR91324237Ej346358
VH000054,Ford,Explorer,2020,suv,gasoline,19054.05,Aa14072341Md765679
VH000055,Nissan,Rogue,2016,suv,gasoline,6658.87,eh10517736yc275125
VH000056,Toyota,RAV4,2020,suv,gasoline,12577.73,XQ76689007ZN351212
VH000057,BMW,X5,2017,suv,diesel,16270.71,Ld16063268rc201705
VH000058,Honda,Odyssey,2010,minivan,hybrid,4440.0,qm32056921uu510668
VH000059,Kia,Optima,2019,sedan,gasoline,9785.2,zu52594563Mh589532
VH000060,BMW,3 Series,2022,sedan,gasoline,21919.99,By38865224BS926904
VH000061,Kia,Sportage,2012,suv,gasoline,3411.67,hr29410983MS310216
VH000062,Kia,Sorento,2013,suv,gasoline,5823.43,pz27153541dS084556
VH000063,Toyota,Tacoma,2016,truck,gasoline,7342.93,jq42578049Wf763044
VH000064,Kia,Soul,2014,suv,hybrid,4272.86,iw44878479jR438757
VH000065,Chevrolet,Equinox,2012,suv,gasoline,3883.27,UK75306840FX500043
VH000066,Toyota,Camry,2012,sedan,gasoline,3551.98,BS47589610eJ141214
VH000067,Hyundai,Sonata,2013,sedan,gasoline,4389.68,Rq20573471SA872034
VH000068,Nissan,Sentra,2008,sedan,diesel,2520.0,Rz34468696NU072099
VH000069,Kia,Sportage,2023,suv,gasoline,16761.33,yi43074881Uz781473
VH000070,BMW,7 Series,2018,sedan,gasoline,32756.74,jJ77414130Xb904440
VH000071,Ford,Escape,2020,suv,hybrid,11637.8,uf70517400ny404370
VH000072,Honda,CR-V,2022,suv,gasoline,19454.26,hJ00235573Go295667
VH000073,Toyota,Highlander,2019,suv,gasoline,13754.32,vL44416304DT181867
VH000074,Nissan,Pathfinder,2020,suv,gasoline,14348.42,Nt99047473gl637763
VH000075,Kia,Optima,2022,sedan,gasoline,13965.41,Jw94208350fG693340
VH000076,Hyundai,Santa Fe,2021,suv,gasoline,17512.62,Vx75611109dW474095
VH000077,Honda,Civic,2012,sedan,hybrid,3055.1,LU59159780Ds049120
VH000078,Hyundai,Elantra,2022,sedan,gasoline,11347.97,eF93558172bX506674
VH000079,Honda,Civic,2008,sedan,gasoline,2880.0,mq11888263dn086893
VH000080,Ford,Focus,2008,sedan,gasoline,2520.0,Qc77398961jb055838
VH000081,Toyota,Corolla,2017,sedan,gasoline,6127.29,HG84137126GQ259506
VH000082,Chevrolet,Equinox,2024,suv,hybrid,22303.54,bf08272034oN920609
VH000083,Hyundai,Accent,2016,sedan,gasoline,5123.99,EO85872381lk464300
VH000084,Chevrolet,Malibu,2020,sedan,gasoline,11554.22,Zz15373531LF529460
VH000085,Chevrolet,Equinox,2021,suv,gasoline,16022.16,aQ15461241LL034728
VH000086,Honda,Odyssey,2024,minivan,gasoline,31694.94,hD90207371ZB284937
VH000087,Nissan,Frontier,2008,truck,gasoline,3840.0,bA38333683dq942918
VH000088,Honda,CR-V,2020,suv,gasoline,11858.94,VN49825956GN405244
VH000089,Kia,Sorento,2012,suv,hybrid,4723.52,ae84017406dt338771
VH000090,Chevrolet,Malibu,2009,sedan,gasoline,3120.0,dF13215724bE392795
VH000091,Chevrolet,Silverado,2023,truck,electric,26560.93,bs69685150vn795961
VH000092,BMW,5 Series,2012,sedan,hybrid,8804.83,ay41065443gC667770
VH000093,Kia,Sorento,2022,suv,gasoline,21640.63,aG09383994JN515035
VH000094,Ford,Explorer,2020,suv,gasoline,14451.94,VV62278856sI467435
VH000095,Hyundai,Tucson,2024,suv,hybrid,22280.27,RQ03804163jL547454
VH000096,Ford,Focus,2023,sedan,gasoline,15399.29,td26027177nr842496
VH000097,Nissan,Altima,2020,sedan,gasoline,12705.44,Jw76515160dj638093
VH000098,Toyota,Corolla,2020,sedan,gasoline,10318.37,PF94920996Xd975370
VH000099,Kia,Optima,2020,sedan,gasoline,10397.28,Zb16465141Ik244568
VH000100,Kia,Optima,2020,sedan,gasoline,11075.12,hc80473400dJ353932
VH000101,Toyota,Tacoma,2021,truck,gasoline,15690.35,iq04527362YK285259
VH000102,Nissan,Sentra,2011,sedan,hybrid,2741.26,rw08894787pH299148
VH000103,BMW,3 Series,2021,sedan,gasoline,23442.36,zN52247048tG190517
VH000104,Chevrolet,Silverado,2013,truck,hybrid,7488.41,RV77888939eq944984
VH000105,Chevrolet,Malibu,2010,sedan,gasoline,3120.0,EI44241794eT216619
VH000106,Kia,Forte,2009,sedan,gasoline,2520.0,JK53104622aU924819
VH000107,Chevrolet,Silverado,2017,truck,gasoline,11311.24,oz91638210FC027857
VH000108,Toyota,Camry,2011,sedan,gasoline,3360.0,xB17415715KF796699
VH000109,Toyota,Tacoma,2008,truck,hybrid,4080.0,XS20700438uE085591
VH000110,Chevrolet,Silverado,2023,truck,gasoline,24238.63,yU28296530GZ065711
VH000111,Honda,Civic,2019,sedan,hybrid,9600.82,Ym83221655HF875947
VH000112,Nissan,Frontier,2024,truck,electric,26741.63,xL08826192ce571059
VH000113,Ford,Mustang,2021,sedan,gasoline,17351.36,gF18061905lM143723
VH000114,Chevrolet,Equinox,2010,suv,gasoline,3480.0,kV66118717Wb988078
VH000115,Nissan,Altima,2019,sedan,gasoline,9459.6,Uj27154475yx063099
VH000116,Ford,Mustang,2018,sedan,gasoline,9679.22,FQ04105191XT757110
VH000117,Chevrolet,Silverado,2008,truck,electric,4920.0,bH16429256rV768457
VH000118,Chevrolet,Tahoe,2024,suv,gasoline,41087.7,HK08708119WH309068
VH000119,Honda,Accord,2016,sedan,gasoline,7481.04,mf88284605vc940581
VH000120,Kia,Forte,2015,sedan,gasoline,5173.61,Wg96979868QS076526
VH000121,Toyota,Tacoma,2008,truck,gasoline,4080.0,WN52005483CE458225
VH000122,Honda,Accord,2020,sedan,diesel,13741.5,vI29674284kD277116
VH000123,Kia,Soul,2014,suv,gasoline,3427.69,OU30857455Va282613
VH000124,Nissan,Pathfinder,2008,suv,hybrid,4320.0,bu83939897oI232462
VH000125,Nissan,Pathfinder,2008,suv,hybrid,4320.0,eU54671802hy172282
VH000126,Hyundai,Sonata,2012,sedan,gasoline,3975.39,Qy76565417aN293708
VH000127,Honda,Civic,2020,sedan,diesel,11446.44,DE15772521EU460599
VH000128,Chevrolet,Malibu,2013,sedan,gasoline,4670.5,OI53399829zR582038
VH000129,Kia,Sorento,2022,suv,electric,18476.06,eN64276062hB903525
VH000130,BMW,7 Series,2017,sedan,gasoline,27167.38,ie24849904JH730107
VH000131,Ford,F-150,2013,truck,gasoline,6395.98,Hr60160034AO560628
VH000132,Honda,CR-V,2019,suv,gasoline,10496.31,JX66452572wq538000
VH000133,Kia,Soul,2015,suv,gasoline,4163.0,qo98881015gG896622
VH000134,Kia,Sportage,2021,suv,gasoline,13048.61,Xo71870142rL804759
VH000135,Honda,Pilot,2009,suv,hybrid,4800.0,xi33310407rA575970
VH000136,Kia,Sorento,2018,suv,gasoline,10636.4,au26287186mn332819
VH000137,Honda,Odyssey,2023,minivan,gasoline,26854.5,Ju25015806im740745
VH000138,Kia,Forte,2016,sedan,gasoline,5870.25,HK40778045sA006894
VH000139,Chevrolet,Tahoe,2024,suv,electric,44185.25,sk72470519Zr121646
VH000140,Kia,Soul,2024,suv,gasoline,15676.71,cn87040817kU824206
VH000141,Hyundai,Elantra,2014,sedan,gasoline,4059.93,JY67239706yo491512
VH000142,Kia,Forte,2021,sedan,gasoline,10546.19,xH53924242NY593977
VH000143,Kia,Forte,2016,sedan,gasoline,5654.16,bm80939250cv708986
VH000144,Ford,Focus,2024,sedan,gasoline,17113.47,Aj80133737XJ073341
VH000145,BMW,7 Series,2023,sedan,hybrid,50552.07,xr85741377Pm348058
VH000146,Toyota,Tacoma,2018,truck,gasoline,9800.56,eG83141472Uu941035
VH000147,Chevrolet,Tahoe,2014,suv,gasoline,9220.4,yQ55490528QJ137294
VH000148,Honda,Pilot,2008,suv,diesel,4800.0,Jj11653548Jj119928
VH000149,Hyundai,Sonata,2023,sedan,gasoline,16651.16,Pb21282632tb365454
VH000150,Toyota,Highlander,2021,suv,gasoline,20967.83,Tv93708474gm408202
VH000151,Chevrolet,Equinox,2011,suv,gasoline,3480.0,HX51306676zH310837
VH000152,Honda,Accord,2020,sedan,gasoline,11434.13,wT41993704hv393052
VH000153,BMW,X5,2022,suv,gasoline,40577.85,SV63450108Gt520142
VH000154,Kia,Sportage,2022,suv,diesel,14477.8,rJ98897888nq600677
VH000155,BMW,X5,2012,suv,gasoline,8005.77,EF79278220wu759072
VH000156,Chevrolet,Cruze,2017,sedan,gasoline,5192.11,wq61701028GV166177
VH000157,Toyota,RAV4,2008,suv,gasoline,3600.0,Hq75172431DZ802181
VH000158,Honda,CR-V,2008,suv,gasoline,3720.0,FC78403063VW439884
VH000159,BMW,3 Series,2024,sedan,hybrid,33352.32,of64387261Bq359866
VH000160,Kia,Sportage,2023,suv,gasoline,16576.01,rc94000083pU555237
VH000161,Chevrolet,Cruze,2021,sedan,gasoline,9051.6,ld28333379aQ078340
VH000162,Ford,Mustang,2008,sedan,electric,3840.0,NG09745724mT374681
VH000163,Hyundai,Santa Fe,2017,suv,gasoline,10769.32,FG47200931Qw665160
VH000164,Honda,Odyssey,2013,minivan,gasoline,5514.22,NN39033231MO602138
VH000165,Honda,Civic,2010,sedan,hybrid,2880.0,Eb03354959ff796109
VH000166,Nissan,Frontier,2015,truck,gasoline,7778.75,qX30916340Fq327797
VH000167,Toyota,RAV4,2012,suv,gasoline,4014.95,os69725522qy013408
VH000168,Toyota,Tacoma,2021,truck,gasoline,15542.19,IL72783501ma709845
VH000169,Nissan,Frontier,2012,truck,gasoline,4627.41,LV09565336jB716265
VH000170,Ford,Mustang,2009,sedan,electric,3840.0,ck87310559bt541988
VH000171,BMW,X3,2014,suv,gasoline,9502.31,vJ52071587PK815539
VH000172,Toyota,Corolla,2017,sedan,gasoline,7360.92,PN63286279sD807241
VH000173,Ford,Mustang,2019,sedan,gasoline,13704.16,wP84257497tH589032
VH000174,Honda,Civic,2011,sedan,gasoline,2880.0,HI85915801Jg162187
VH000175,Ford,Explorer,2009,suv,gasoline,4680.0,NU75128572cg794977
VH000176,Honda,Odyssey,2015,minivan,gasoline,7017.05,ti68199380ht969524
VH000177,Toyota,Highlander,2016,suv,gasoline,9943.99,Nj52026617nl865282
VH000178,Toyota,Highlander,2013,suv,gasoline,7044.58,us83913503qG049184
VH000179,Hyundai,Sonata,2010,sedan,diesel,3240.0,Fs42353810iN186599
VH000180,Ford,Escape,2017,suv,hybrid,8321.28,Io23993392zo360324
VH000181,Kia,Soul,2016,suv,gasoline,4721.75,rR26703308OK780917
VH000182,Honda,Odyssey,2019,minivan,gasoline,12087.38,sn87536997we545461
VH000183,Ford,F-150,2015,truck,gasoline,9316.24,Ei87028041Ge674560
VH000184,BMW,5 Series,2024,sedan,gasoline,48694.96,La10229584sx590650
VH000185,Ford,Explorer,2024,suv,gasoline,32870.87,gy78692183tr234700
VH000186,Kia,Sorento,2017,suv,gasoline,9995.69,PC25935448in231474
VH000187,BMW,X3,2008,suv,gasoline,5640.0,QK01466505Tz713510
VH000188,Nissan,Altima,2010,sedan,gasoline,3120.0,yF18970141cY298062
VH000189,Hyundai,Santa Fe,2014,suv,hybrid,5783.07,OK95068835Ti695472
VH000190,Honda,CR-V,2023,suv,gasoline,18686.56,Ce57911144Cp633098
VH000191,Hyundai,Santa Fe,2010,suv,gasoline,3960.0,Oa65699588Lc626027
VH000192,BMW,X3,2017,suv,gasoline,14876.26,qB86322771zc804193
VH000193,Kia,Soul,2022,suv,hybrid,12390.76,Yd63790496Ms142004
VH000194,Chevrolet,Equinox,2011,suv,gasoline,3807.83,Dp14938097Fy304518
VH000195,Nissan,Rogue,2018,suv,gasoline,10768.79,hO31597094rA822240
VH000196,Hyundai,Elantra,2016,sedan,gasoline,5567.75,aO40248370pv789972
VH000197,Kia,Soul,2024,suv,diesel,16596.66,jN50468075Pr025930
VH000198,Kia,Sportage,2022,suv,electric,16748.12,Rd12553904TA306919
VH000199,Chevrolet,Equinox,2013,suv,gasoline,4288.95,Xp92048908to879688
VH000200,Nissan,Frontier,2022,truck,gasoline,17263.29,du96059139lL732437
VH000201,Chevrolet,Equinox,2022,suv,gasoline,17042.92,qg54384220Oh758292
VH000202,Kia,Forte,2016,sedan,hybrid,5958.93,vu97065351iX239174
VH000203,BMW,5 Series,2011,sedan,gasoline,6720.0,qM18255410Xs422470
VH000204,Kia,Sportage,2010,suv,gasoline,3360.0,Dw03538308SF238579
VH000205,Chevrolet,Malibu,2016,sedan,gasoline,5609.3,ss77595992uA306958
VH000206,BMW,X5,2021,suv,gasoline,29920.28,nQ94730162Bq337480
VH000207,BMW,3 Series,2013,sedan,electric,7661.78,Jr05615961NK384237
VH000208,Nissan,Sentra,2015,sedan,gasoline,4767.42,Ly60387509Ul827232
VH000209,Kia,Soul,2021,suv,gasoline,10854.52,pD52858941ff307794
VH000210,Nissan,Rogue,2010,suv,gasoline,3514.79,Gv34949335ac184227
VH000211,Kia,Soul,2013,suv,gasoline,3424.15,kp64478289AK546548
VH000212,Toyota,RAV4,2019,suv,gasoline,12158.24,LH29084800tX239556
VH000213,Nissan,Rogue,2014,suv,gasoline,5012.54,MG22895983Yx784729
VH000214,Hyundai,Elantra,2016,sedan,gasoline,6245.19,OT37409576UQ443742
VH000215,Nissan,Pathfinder,2011,suv,gasoline,4320.0,ih80601282Hg578626
VH000216,Toyota,Camry,2019,sedan,gasoline,10314.99,Hl67898590ll403132
VH000217,Nissan,Sentra,2008,sedan,electric,2520.0,Nt00076382tG544865
VH000218,Chevrolet,Cruze,2020,sedan,gasoline,9302.49,ow67597015ZD024717
VH000219,BMW,X5,2012,suv,gasoline,9143.04,tP57363459AG360551
VH000220,BMW,5 Series,2016,sedan,hybrid,12723.45,wv00339023NU834088
VH000221,Hyundai,Tucson,2016,suv,gasoline,6518.72,gp54949060wB442149
VH000222,Hyundai,Elantra,2017,sedan,gasoline,5943.71,hC66134675gi635104
VH000223,Toyota,Camry,2024,sedan,gasoline,23322.74,xs01411636No530929
VH000224,Hyundai,Accent,2018,sedan,diesel,6945.56,It40413852ov459329
VH000225,Honda,CR-V,2022,suv,gasoline,18222.77,QC38825463cF100305
VH000226,Ford,F-150,2014,truck,gasoline,7794.16,MP67485684vy996802
VH000227,Hyundai,Elantra,2016,sedan,gasoline,5670.46,CT23895052el167927
VH000228,Honda,CR-V,2008,suv,gasoline,3720.0,EX80241589dn019115
VH000229,Chevrolet,Silverado,2021,truck,gasoline,18316.9,HE61421568LD441539
VH000230,BMW,7 Series,2008,sedan,gasoline,10560.0,Fy48735596AD280978
VH000231,Chevrolet,Malibu,2021,sedan,gasoline,14294.32,aY26677145Iy316733
VH000232,Hyundai,Sonata,2020,sedan,gasoline,11819.76,QJ10120950yF486885
VH000233,Honda,Civic,2022,sedan,gasoline,13061.53,ZT53905675Qb502132
VH000234,Hyundai,Accent,2016,sedan,gasoline,5419.74,cL68217336ND150306
VH000235,Ford,Focus,2018,sedan,gasoline,7171.48,oa72204425OT050342
VH000236,BMW,X3,2023,suv,gasoline,28337.04,YR59524455pr805805
VH000237,Kia,Sorento,2014,suv,hybrid,7021.11,ER91191602Uc150750
VH000238,Hyundai,Elantra,2024,sedan,gasoline,18244.75,rJ08638020rW529094
VH000239,Hyundai,Santa Fe,2016,suv,gasoline,7657.36,Ym69752554zi002381
VH000240,Chevrolet,Cruze,2019,sedan,gasoline,7297.19,DA85049077UR650363
VH000241,Hyundai,Tucson,2022,suv,gasoline,16243.44,EL05683687di576762
VH000242,Honda,CR-V,2013,suv,gasoline,5539.74,Qu79772672Jm278246
VH000243,Kia,Optima,2010,sedan,gasoline,3000.0,BB20323450ly385545
VH000244,Honda,Odyssey,2009,minivan,gasoline,4440.0,gu21418762HZ839177
VH000245,Honda,Civic,2019,sedan,gasoline,8936.31,kt58468573dR757178
VH000246,Nissan,Rogue,2012,suv,hybrid,4680.59,Ju22614041lo846094
VH000247,Hyundai,Sonata,2011,sedan,gasoline,3729.88,HJ56114523rk251692
VH000248,Toyota,Highlander,2010,suv,gasoline,4560.0,ud87158577RK989296
VH000249,Ford,Mustang,2013,sedan,hybrid,4492.11,Fi09283073kR718470
VH000250,Kia,Sorento,2011,suv,gasoline,4009.51,Sm53075158lc485705
VH000251,BMW,X3,2015,suv,gasoline,10472.88,lt34357800xu904154
VH000252,Ford,F-150,2012,truck,gasoline,5580.86,FZ98138096CG738358
VH000253,BMW,X3,2010,suv,electric,5640.0,TR01385220EK988195
VH000254,Ford,Focus,2010,sedan,gasoline,2520.0,NQ88037060MK964558
VH000255,Honda,Accord,2010,sedan,gasoline,3480.0,kC62928373Zg979666
VH000256,Toyota,Tacoma,2018,truck,gasoline,10270.88,Sv39158356mO938409
VH000257,Honda,Odyssey,2009,minivan,diesel,4440.0,VO74557284FP152083
VH000258,BMW,X5,2014,suv,gasoline,10868.78,da59982746Gj475553
VH000259,Toyota,Highlander,2017,suv,gasoline,11434.39,Xn52971825gU956844
VH000260,Honda,Odyssey,2018,minivan,hybrid,11164.43,sg38883075XJ897811
VH000261,Chevrolet,Silverado,2022,truck,gasoline,23851.47,Pq06065265rw055002
VH000262,Chevrolet,Cruze,2020,sedan,gasoline,7943.38,Ww87882478gP356825
VH000263,Honda,Pilot,2022,suv,gasoline,24690.8,TP64816777ZL260745
VH000264,Toyota,RAV4,2008,suv,gasoline,3600.0,El56263516zP091077
VH000265,Hyundai,Accent,2015,sedan,hybrid,4204.79,EL64473952uq627779
VH000266,Ford,Escape,2012,suv,electric,3913.41,sY39506946OX004987
VH000267,Kia,Sorento,2012,suv,gasoline,4099.88,nv58724072Gk053404
VH000268,Honda,Accord,2022,sedan,electric,18985.92,Jb60746933Gt470652
VH000269,Chevrolet,Equinox,2024,suv,gasoline,21907.03,FB65574381Om784219
VH000270,Toyota,RAV4,2009,suv,gasoline,3600.0,DX34644681Ym288456
VH000271,Honda,CR-V,2009,suv,gasoline,3720.0,Ka45340476ty304627
VH000272,Toyota,Corolla,2017,sedan,gasoline,6934.96,SX98044506ID812501
VH000273,Chevrolet,Tahoe,2018,suv,gasoline,17092.75,xH90245884UX225680
VH000274,Toyota,Corolla,2010,sedan,gasoline,2760.0,KJ55134339IP313481
VH000275,Chevrolet,Silverado,2022,truck,gasoline,21042.95,vd77841595Dw539525
VH000276,Ford,Focus,2022,sedan,gasoline,12497.65,MM42633645bZ196764
VH000277,Hyundai,Santa Fe,2011,suv,gasoline,3960.0,Nk57088174RH613878
VH000278,Ford,Mustang,2015,sedan,gasoline,6074.0,UP23559968Kr748500
VH000279,Honda,CR-V,2010,suv,gasoline,3720.0,QU90600009lx768653
VH000280,Toyota,RAV4,2012,suv,gasoline,4048.42,Dn97503982hv249327
VH000281,Chevrolet,Silverado,2008,truck,gasoline,4920.0,ot72929413iP912554
VH000282,Chevrolet,Equinox,2018,suv,gasoline,8596.5,pQ90800918iD539450
VH000283,Hyundai,Sonata,2015,sedan,electric,6685.4,KG45338833AV993429
VH000284,Honda,Civic,2018,sedan,gasoline,7639.06,wT19610600tP909600
VH000285,Ford,Mustang,2023,sedan,gasoline,18010.78,ic56726678Tq368405
VH000286,Honda,Civic,2017,sedan,gasoline,6068.81,SN24528071rb478046
VH000287,Kia,Forte,2024,sedan,gasoline,16813.04,wc76219185Sb964633
VH000288,Honda,Pilot,2018,suv,gasoline,11990.86,Is78479916ip414513
VH000289,Kia,Sportage,2022,suv,hybrid,13731.23,WT21799800mD212555
VH000290,BMW,5 Series,2020,sedan,hybrid,25477.07,vR19521688pY720903
VH000291,Honda,Pilot,2012,suv,gasoline,6444.32,cl79818999Mu672354
VH000292,Honda,Civic,2008,sedan,gasoline,2880.0,Ri00777769pF290259
VH000293,BMW,5 Series,2015,sedan,hybrid,11558.46,et54119041iF342387
VH000294,Ford,Escape,2009,suv,gasoline,3480.0,ib32291262bb139885
VH000295,Chevrolet,Tahoe,2023,suv,gasoline,30301.65,kc59900678mb478624
VH000296,Honda,CR-V,2023,suv,gasoline,23379.54,iM07488258qR109898
VH000297,BMW,X5,2010,suv,gasoline,7440.0,kY80143528CA324835
VH000298,Honda,Civic,2009,sedan,gasoline,2880.0,Ws34723066LI858784
VH000299,BMW,X5,2009,suv,gasoline,7440.0,nW16194880Qz126929
VH000300,Nissan,Rogue,2010,suv,hybrid,3480.0,xk27197077KF651516
VH000301,Honda,CR-V,2009,suv,hybrid,3720.0,Gf52599357Cs344611
VH000302,Toyota,RAV4,2024,suv,gasoline,21225.99,Mq51928757rl233218
VH000303,Toyota,Camry,2013,sedan,hybrid,4690.25,vt23354483gM253801
VH000304,Ford,F-150,2019,truck,gasoline,14755.57,MK70812620Oy452742
VH000305,Kia,Soul,2021,suv,gasoline,10491.05,My85509460FI909200
VH000306,BMW,7 Series,2023,sedan,gasoline,64449.31,Wq61875244me072255
VH000307,Chevrolet,Equinox,2015,suv,gasoline,5898.73,EU60872972du114497
VH000308,Toyota,Corolla,2012,sedan,gasoline,3032.6,EV50641820Np306607
VH000309,Kia,Sorento,2014,suv,gasoline,6952.34,QL29360955rZ930690
VH000310,Toyota,Corolla,2015,sedan,gasoline,4519.19,Bb14590255Rn150156
VH000311,Toyota,RAV4,2021,suv,gasoline,15779.54,Tw96489225rm169961
VH000312,Chevrolet,Equinox,2013,suv,gasoline,5117.88,zm21644712lU257895
VH000313,BMW,X3,2008,suv,gasoline,5640.0,ja76060497Qa987471
VH000314,Honda,Odyssey,2017,minivan,gasoline,11760.09,QN70921424RC350003
VH000315,Ford,Escape,2023,suv,gasoline,18578.44,py84351920Xy567345
VH000316,Honda,Civic,2023,sedan,gasoline,15380.79,TK24925569Nt197673
VH000317,Chevrolet,Cruze,2022,sedan,gasoline,12907.2,XQ85966133vx934587
VH000318,BMW,5 Series,2008,sedan,gasoline,6720.0,Kg48564114sP464662
VH000319,Hyundai,Elantra,2018,sedan,gasoline,6921.02,Hf78789088et379771
VH000320,Nissan,Pathfinder,2015,suv,gasoline,7997.26,Cr96181159ue059947
VH000321,Nissan,Sentra,2023,sedan,gasoline,14066.06,Qn68351733ZU117020
VH000322,Honda,Accord,2019,sedan,gasoline,9683.3,SO44016832my302157
VH000323,Ford,Explorer,2011,suv,gasoline,4680.0,Ck18353038EQ778579
VH000324,Ford,F-150,2023,truck,gasoline,28062.15,Ia08042483gU912157
VH000325,Chevrolet,Silverado,2014,truck,hybrid,8394.38,Wm47132627qY301094
VH000326,Kia,Soul,2024,suv,gasoline,13980.48,kc89951508Kb388882
VH000327,Kia,Forte,2011,sedan,gasoline,2520.0,kf47277662Bz311690
VH000328,Toyota,Corolla,2011,sedan,gasoline,2760.0,BO56287024Cs998520
VH000329,Honda,Pilot,2018,suv,diesel,13299.52,Ra09782124sp753571
VH000330,Kia,Soul,2017,suv,gasoline,4881.45,WP99901987hw755212
VH000331,Nissan,Pathfinder,2013,suv,gasoline,5556.06,eS63399430rS263589
VH000332,Ford,F-150,2020,truck,gasoline,15694.73,vK14075935dk150940
VH000333,Hyundai,Sonata,2021,sedan,gasoline,13325.59,fy90171494AK939387
VH000334,Honda,Civic,2018,sedan,electric,7789.28,Dh86286055Ux107001
